epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3693.4,0.51235,0.3974,0.88455,0.90219,0.91163,0.93622,0.83349,0.46506,0.34926,0.84989,0.00701588,0.00701588,0.00701588
76,3738.96,0.51179,0.39264,0.88437,0.90263,0.91115,0.93595,0.83345,0.46602,0.34946,0.8513,0.00694428,0.00694428,0.00694428
77,3790.69,0.51438,0.39565,0.88328,0.90571,0.90877,0.93613,0.8335,0.46467,0.3501,0.8501,0.00687222,0.00687222,0.00687222
78,3835.13,0.50694,0.39224,0.88245,0.90668,0.90589,0.93634,0.83346,0.46507,0.34993,0.85047,0.0067997,0.0067997,0.0067997
79,3887.07,0.50563,0.3893,0.88225,0.90427,0.90983,0.93629,0.83391,0.46446,0.3492,0.85052,0.00672675,0.00672675,0.00672675
80,3931.08,0.50572,0.38862,0.88266,0.90548,0.90893,0.93631,0.83327,0.46416,0.34951,0.8501,0.00665339,0.00665339,0.00665339
81,3983.27,0.50524,0.38699,0.88157,0.90294,0.91188,0.93633,0.83338,0.46376,0.34903,0.84993,0.00657963,0.00657963,0.00657963
82,4027.01,0.50701,0.38774,0.88256,0.90235,0.91143,0.93612,0.83373,0.46406,0.34871,0.85015,0.0065055,0.0065055,0.0065055
83,4080.15,0.50314,0.38748,0.87961,0.90319,0.91091,0.93604,0.83374,0.46343,0.34881,0.8496,0.00643101,0.00643101,0.00643101
84,4123,0.50197,0.3844,0.88057,0.90008,0.91315,0.93609,0.83404,0.46366,0.34893,0.8498,0.00635617,0.00635617,0.00635617
85,4177.2,0.49925,0.38087,0.88012,0.90449,0.91035,0.93616,0.83377,0.46392,0.34893,0.85003,0.00628101,0.00628101,0.00628101
86,4219.99,0.49986,0.37836,0.87959,0.9054,0.90725,0.93588,0.8339,0.46373,0.34911,0.84986,0.00620555,0.00620555,0.00620555
87,4273.93,0.49861,0.37858,0.8789,0.90923,0.90263,0.93597,0.83404,0.46349,0.34852,0.85004,0.00612981,0.00612981,0.00612981
88,4317.17,0.49432,0.38089,0.87675,0.90672,0.90419,0.93595,0.8336,0.4636,0.34827,0.85025,0.0060538,0.0060538,0.0060538
89,4371.8,0.49633,0.37912,0.87956,0.90366,0.90616,0.9361,0.83369,0.46446,0.34829,0.85109,0.00597754,0.00597754,0.00597754
90,4414.52,0.49582,0.37809,0.87801,0.90228,0.90922,0.93623,0.83354,0.46433,0.3488,0.85097,0.00590105,0.00590105,0.00590105
91,4468.51,0.49197,0.37774,0.87914,0.90311,0.90694,0.93625,0.83375,0.46438,0.34879,0.85115,0.00582435,0.00582435,0.00582435
92,4512.62,0.49512,0.37859,0.87797,0.90247,0.90713,0.93624,0.8337,0.46414,0.3491,0.85128,0.00574746,0.00574746,0.00574746
93,4567.04,0.49091,0.3738,0.87576,0.90408,0.90588,0.93627,0.83438,0.46396,0.34939,0.85131,0.0056704,0.0056704,0.0056704
94,4612.1,0.49012,0.37174,0.87569,0.90349,0.90724,0.93621,0.83422,0.46347,0.34948,0.85118,0.00559318,0.00559318,0.00559318
95,4665.83,0.49109,0.37162,0.87638,0.9061,0.90307,0.93633,0.83424,0.46341,0.34906,0.85105,0.00551584,0.00551584,0.00551584
